session_id,log_count,raw_frames,raw_allowlisted_frames,candidate_windows,eligible_scenes,unit_stride_eligible_scenes,cache_scenes,protocol_scenes,protocol_cell
2021.06.23.22.05.48_veh-16,3,1526,237,111,19,237,31,31,stage1:train
2021.07.09.01.37.16_veh-26,10,1389,177,103,9,177,32,32,stage1:train
2021.07.09.02.42.50_veh-35,2,5420,729,388,50,729,102,102,stage3:train
2021.07.09.15.53.28_veh-38,6,9346,1290,670,92,1290,197,197,stage3:test
2021.07.09.16.12.19_veh-26,7,976,136,72,9,136,25,25,stage1:test
2021.07.09.17.06.37_veh-35,6,10856,1759,777,118,1759,265,265,stage1:train
2021.07.09.20.26.06_veh-35,5,11780,1769,843,134,1769,274,274,stage1:test
2021.07.09.20.59.12_veh-38,11,13940,1677,1002,111,1677,249,249,stage3:audit
2021.07.09.23.23.48_veh-26,5,12384,1687,887,120,1687,258,258,stage3:train
2021.07.16.00.24.14_veh-38,4,2946,227,212,14,227,34,34,stage1:train
2021.07.16.00.51.05_veh-17,4,10317,1695,739,117,1695,226,226,stage1:test
2021.07.16.01.22.41_veh-14,6,13962,2398,1000,174,2398,346,346,stage1:train
2021.07.16.02.53.40_veh-17,1,3143,387,225,25,387,56,56,stage3:test
2021.07.16.16.01.30_veh-38,6,13456,1832,965,127,1832,277,277,stage1:audit
2021.07.16.16.08.35_veh-35,9,11550,1656,829,123,1656,248,248,stage3:test
2021.07.16.16.27.22_veh-26,6,10941,1786,784,124,1786,258,258,stage1:train
2021.07.16.18.06.21_veh-38,10,10566,1589,760,121,1589,240,240,stage1:train
2021.07.16.18.19.22_veh-35,4,6754,996,485,76,996,153,153,stage1:audit
2021.07.16.18.49.56_veh-26,4,6936,1079,497,80,1079,164,164,stage3:train
2021.07.16.20.45.29_veh-35,5,5122,694,367,52,694,100,100,stage2:test
2021.07.16.21.17.55_veh-26,8,1148,272,85,19,272,35,35,stage3:test
2021.07.16.22.40.23_veh-38,4,5924,698,425,49,698,106,106,stage3:test
2021.07.24.16.07.03_veh-35,1,328,66,24,6,66,12,12,stage1:train
2021.07.24.16.48.51_veh-17,1,300,72,22,6,72,9,9,stage2:train
2021.07.24.18.06.35_veh-35,1,270,56,20,6,56,10,10,stage3:train
2021.07.24.20.37.45_veh-17,1,720,129,52,10,129,17,17,stage2:train
2021.07.24.22.52.16_veh-35,1,1720,311,123,22,311,42,42,stage1:train
2021.07.24.23.50.16_veh-17,1,750,69,54,7,69,11,11,stage3:test
2021.08.09.17.55.59_veh-28,6,1979,153,144,10,153,27,27,stage2:train
2021.08.09.18.37.41_veh-28,2,1154,259,83,20,259,35,35,stage1:train
2021.08.17.13.10.50_veh-08,4,2009,303,144,20,303,49,49,stage2:test
2021.08.17.13.15.12_veh-45,12,3812,795,279,58,795,115,115,stage1:train
2021.08.17.14.32.33_veh-08,6,3428,780,247,50,780,109,109,stage2:train
2021.08.17.14.45.12_veh-42,7,3356,689,243,44,689,104,104,stage2:train
2021.08.17.16.48.45_veh-43,12,6454,1188,466,97,1188,194,194,stage2:train
2021.08.17.16.57.11_veh-08,3,2748,535,198,37,535,80,80,stage2:train
2021.08.17.17.17.01_veh-45,8,4428,735,319,61,735,116,116,stage1:train
2021.08.17.17.55.18_veh-43,5,2554,399,184,30,399,62,62,stage1:train
2021.08.17.18.11.12_veh-08,4,3102,517,223,33,517,82,82,stage1:train
2021.08.17.18.13.38_veh-45,5,3406,538,245,32,538,79,79,stage3:train
2021.08.17.18.44.32_veh-08,3,2954,437,213,27,437,68,68,stage2:train
2021.08.17.18.54.02_veh-45,7,4028,620,291,46,620,95,95,stage2:audit
2021.08.17.19.18.39_veh-08,4,1094,304,80,18,304,40,40,stage2:train
2021.08.24.14.25.28_veh-42,1,278,55,20,3,55,11,11,stage2:train
2021.08.24.14.35.46_veh-45,3,780,176,57,13,176,25,25,stage2:test
2021.08.24.15.09.18_veh-45,1,1292,248,93,19,248,40,40,stage2:train
2021.08.24.17.01.06_veh-45,2,1170,218,84,15,218,35,35,stage2:train
2021.08.24.17.34.27_veh-45,3,700,135,51,10,135,19,19,stage1:train
2021.08.24.17.37.11_veh-08,1,528,70,38,4,70,14,14,stage2:train
2021.08.24.18.07.48_veh-45,3,1168,217,85,13,217,31,31,stage2:train
2021.08.24.18.30.46_veh-08,4,1334,279,98,18,279,41,41,stage2:train
2021.08.24.19.30.33_veh-45,2,652,96,47,6,96,16,16,stage2:train
2021.08.24.20.03.01_veh-45,6,1274,226,94,17,226,40,40,stage2:test
2021.08.31.11.47.30_veh-40,5,2478,477,179,33,477,62,62,stage2:train
2021.08.31.12.21.30_veh-40,6,1518,271,112,20,271,41,41,stage3:train
2021.08.31.12.54.56_veh-40,5,1696,250,124,12,250,46,46,stage2:train
2021.08.31.13.27.52_veh-40,6,2120,355,154,30,355,53,53,stage3:train
2021.08.31.14.01.15_veh-40,7,1850,233,135,19,233,37,37,stage1:test
2021.08.31.14.40.58_veh-40,7,2760,483,200,36,483,74,74,stage1:train
2021.08.31.16.37.21_veh-40,11,2682,500,194,35,500,78,78,stage1:train
2021.08.31.17.42.52_veh-40,6,1824,265,133,20,265,43,43,stage2:train
2021.08.31.18.15.54_veh-40,6,2658,528,192,33,528,75,75,stage1:train
2021.09.14.15.03.51_veh-45,2,706,65,51,4,65,14,14,stage3:train
2021.09.14.16.46.51_veh-45,2,1878,356,135,25,356,51,51,stage3:train
2021.09.14.18.43.41_veh-45,5,2544,570,183,45,570,88,88,stage2:train
2021.09.14.19.46.05_veh-45,1,364,85,26,7,85,12,12,stage1:test
2021.09.14.20.42.30_veh-45,4,1200,185,87,13,185,30,30,stage2:train
2021.09.15.11.49.23_veh-28,8,2724,416,198,28,416,61,61,stage1:train
2021.09.15.12.32.43_veh-28,11,2582,399,189,26,399,60,60,stage2:train
2021.09.15.13.16.40_veh-28,9,3132,474,227,35,474,69,69,stage1:test
2021.09.15.13.52.55_veh-39,6,2378,346,173,26,346,61,61,stage1:train
2021.09.15.14.00.15_veh-28,7,2560,399,187,25,399,65,65,stage2:train
2021.09.15.14.27.22_veh-39,10,2894,413,211,21,413,64,64,stage1:audit
2021.09.15.14.50.05_veh-28,9,2196,333,161,22,333,53,53,stage1:train
2021.09.15.15.02.19_veh-39,4,2480,425,179,31,425,65,65,stage1:train
2021.09.15.15.34.53_veh-28,8,3444,620,249,46,620,99,99,stage1:test
2021.09.15.16.51.15_veh-28,5,1054,208,77,15,208,30,30,stage3:audit
2021.10.01.13.28.54_veh-28,7,2472,391,181,36,391,60,60,stage2:audit
2021.10.01.15.32.11_veh-28,6,2355,401,171,32,401,62,62,stage1:test
2021.10.01.17.52.06_veh-28,11,2298,448,171,38,448,66,66,stage3:train
2021.10.01.18.26.05_veh-28,5,1782,239,130,16,239,35,35,stage2:train
2021.10.01.19.16.42_veh-28,13,6694,1097,484,80,1097,165,165,stage1:test
2021.10.05.04.03.05_veh-50,6,2670,696,194,55,696,90,90,stage2:test
2021.10.05.04.38.41_veh-50,5,1900,618,138,42,618,68,68,stage2:train
2021.10.05.06.24.06_veh-50,6,2756,730,199,52,730,98,98,stage2:train
2021.10.05.06.31.40_veh-52,6,3838,960,278,74,960,121,121,stage2:train
2021.10.05.06.57.40_veh-50,7,2643,762,191,57,762,95,95,stage2:train
2021.10.05.07.10.04_veh-52,5,2717,784,196,59,784,102,102,stage2:train
2021.10.05.07.38.12_veh-50,5,1832,736,132,52,736,81,81,stage2:train
2021.10.05.07.49.39_veh-52,4,1762,547,128,44,547,68,68,stage2:test
2021.10.05.08.11.15_veh-50,7,2562,783,187,60,783,94,94,stage2:train
2021.10.06.13.21.47_veh-28,10,2312,333,169,22,333,52,52,stage1:train
2021.10.06.14.31.13_veh-28,8,2714,407,198,34,407,65,65,stage1:train
2021.10.06.17.08.46_veh-28,7,2778,454,201,26,454,68,68,stage3:train
2021.10.06.17.43.07_veh-28,7,2764,385,201,31,385,54,54,stage1:test
2021.10.06.18.52.07_veh-28,7,2640,454,191,38,454,79,79,stage1:train
2021.10.06.19.27.33_veh-28,4,3308,538,237,39,538,83,83,stage1:audit
2021.10.11.02.57.41_veh-50,11,4008,946,292,63,946,128,128,stage2:train
2021.10.11.05.34.05_veh-50,10,4590,1147,331,77,1147,145,145,stage2:test
2021.10.11.07.12.18_veh-50,5,2914,966,210,70,966,115,115,stage2:test
2021.10.11.07.47.13_veh-50,8,3464,784,252,52,784,103,103,stage2:train
2021.10.11.08.31.07_veh-50,11,4166,1371,303,100,1371,160,160,stage2:audit
