log_name,session_id,raw_file_bytes,raw_file_sha256,raw_frames,raw_allowlisted_frames,candidate_windows,short_window,invalid_current,no_route,not_in_allowlist,eligible_scenes,unit_stride_eligible_scenes,distinct_valid_window_current_tokens,protocol_cell,cache_scenes,protocol_scenes
2021.05.12.22.00.38_veh-35_00129_00204,2021.05.12.22.00.38_veh-35,1950843,5611e3b6faf50d5d140c32082c15133d25622bb00e5f465b4d190e9683b6e731,150,19,11,1,0,0,8,2,19,10,stage1:train,2,2
2021.05.12.22.00.38_veh-35_00215_00995,2021.05.12.22.00.38_veh-35,40605533,e8b232dbd31179f3518ebca9e79363ccd456e34d23338b46ff309236f8fb13eb,1560,192,112,1,0,0,102,9,192,111,stage1:train,30,30
2021.05.12.22.00.38_veh-35_01008_01518,2021.05.12.22.00.38_veh-35,24921892,06c914eb79b71c4fea246f111315bc047da646d99e8fd3189dd46994d269e1c4,1020,127,73,1,0,1,62,9,127,71,stage1:train,17,17
2021.05.12.22.28.35_veh-35_00025_00115,2021.05.12.22.28.35_veh-35,5559717,4d976c12ddd21c0bfbbad665103ddc466b4317a580aaeb3d16f22329c02bfc78,180,21,13,1,0,0,10,2,21,12,stage1:train,3,3
2021.05.12.22.28.35_veh-35_00126_00339,2021.05.12.22.28.35_veh-35,10224477,6e2417f23b2e2189bcb14326a24fd491ee7c8390c8a0bd1971822498ff23d071,426,56,31,1,0,0,26,4,56,30,stage1:train,8,8
2021.05.12.22.28.35_veh-35_00350_00568,2021.05.12.22.28.35_veh-35,8497321,eb046a562cd24b90eeb848f4cc8c2b8a8a7c8aac631c2fe97811d6410017a131,436,40,32,1,0,0,28,3,40,31,stage1:train,8,8
2021.05.12.22.28.35_veh-35_00620_01164,2021.05.12.22.28.35_veh-35,25541322,976e865baeb128dfad63e7dca6423a5a4062f14ab662ea292ecd5f9cea31f96d,1088,207,78,1,0,0,61,16,207,77,stage1:train,27,27
2021.05.12.22.28.35_veh-35_01175_02127,2021.05.12.22.28.35_veh-35,44500053,59f6f0d795a9149e522f75deffbcf4aa38d61d57aae92a8a01216e254e262ff5,1904,275,136,0,0,0,112,24,275,136,stage1:train,40,40
2021.05.12.22.28.35_veh-35_02138_02481,2021.05.12.22.28.35_veh-35,13895939,1f782c893f8c641562d48aa218d4586a516cb16cc5183d243e8b3cb33845f827,686,145,49,0,0,0,37,12,145,49,stage1:train,18,18
2021.05.12.23.36.44_veh-35_00063_00141,2021.05.12.23.36.44_veh-35,4443540,0a2fbe415ef67cfb6097386d6873256f52eecd3f233cee0ef916a3220670f2b4,156,23,12,1,0,0,10,1,23,11,stage1:train,3,3
2021.05.12.23.36.44_veh-35_00152_00504,2021.05.12.23.36.44_veh-35,17889091,0e7f3902aca65ded199ac561120a704c263065249e65d13a1834d71f3d712b6a,704,74,51,1,0,0,43,7,74,50,stage1:train,11,11
2021.05.12.23.36.44_veh-35_00515_00701,2021.05.12.23.36.44_veh-35,8131282,18a2a864203db370bb3126e35d694cc6e429d211c882cab5a5e316caecb9de63,372,106,27,1,0,0,18,8,106,26,stage1:train,13,13
2021.05.12.23.36.44_veh-35_00712_00774,2021.05.12.23.36.44_veh-35,3511685,1411b9c345b7a84592e3853fa2b849bcf20fec3d647a9be833ebf9bd3133fb32,124,30,9,1,0,0,6,2,30,8,stage1:train,4,4
2021.05.12.23.36.44_veh-35_00785_01041,2021.05.12.23.36.44_veh-35,13491117,ec9f082c002c525b605ccbcb950092a08184b3e0705251f60a6488395f73f20e,512,104,37,1,0,0,28,8,104,36,stage1:train,14,14
2021.05.12.23.36.44_veh-35_01133_01535,2021.05.12.23.36.44_veh-35,14559327,a3d488c626b15449e7264af7e32beef29237cc4304170a6624d80b16009ba18c,804,129,58,1,0,0,48,9,129,57,stage1:train,17,17
2021.05.12.23.36.44_veh-35_01585_01724,2021.05.12.23.36.44_veh-35,7436321,8ab4943e64c06782ce3619f11446379611c8dcf684c71f11b2aab92f2a8498d1,278,46,20,1,0,0,16,3,46,19,stage1:train,8,8
2021.05.12.23.36.44_veh-35_01735_01957,2021.05.12.23.36.44_veh-35,8346627,9ee931884617f1f72d7d06ae272006936f8dc1f4bd70abfd734631fecf375123,444,131,32,1,0,0,24,7,131,31,stage1:train,15,15
2021.05.12.23.36.44_veh-35_02035_02387,2021.05.12.23.36.44_veh-35,19057615,3d6d2608b02e265433ebce1cc6040c89ca313a22a50af8fae2aafffd907414c1,704,114,51,1,0,0,43,7,114,50,stage1:train,14,14
2021.06.07.11.59.52_veh-35_02283_02464,2021.06.07.11.59.52_veh-35,6399804,995d79d104d063ce9da4f59000e97538ab92df90942b0fc2520909d3c695629f,362,17,26,1,0,0,23,2,17,25,stage1:train,3,3
2021.06.07.12.42.11_veh-38_01777_02078,2021.06.07.12.42.11_veh-38,15484830,ae24350ce86aaf55653daa0105c7e9e34bd95a1cf23ac4a3ace3b0edb4ca4f3f,600,14,43,1,0,0,40,2,14,42,stage1:train,3,3
2021.06.07.12.42.11_veh-38_02445_02843,2021.06.07.12.42.11_veh-38,16143235,49870e475cad123c7388189726e2f4b0996931756e9ded70752d1af4b546c7e5,794,43,57,1,0,0,53,3,43,56,stage1:train,8,8
2021.06.07.12.42.11_veh-38_03254_03455,2021.06.07.12.42.11_veh-38,8619990,b10432fe2159906225c61ff1a386bfbbbfedcdab3e182d419399332aa9144c23,400,40,29,1,0,0,25,3,40,28,stage1:train,5,5
2021.06.07.12.54.00_veh-35_01843_02314,2021.06.07.12.54.00_veh-35,21400965,b54d88f779731d5bae10ce688a06deb2f9d7166b6addc4b442a91b5c37fc7725,942,116,68,1,0,0,56,11,116,67,stage1:test,18,18
2021.06.07.13.53.57_veh-35_01772_02032,2021.06.07.13.53.57_veh-35,14561707,c44786845e8cfb1704441a4180ffcd879c384ff9b25b63e8f57a4b0c0ab867d3,520,54,38,1,0,0,34,3,54,37,stage3:train,9,9
2021.06.07.13.53.57_veh-35_02489_03145,2021.06.07.13.53.57_veh-35,31715508,13933d0e323d50bdbad08b5352f9465fab90116b21ac59d5141176a1128bdc3a,1312,254,94,1,0,0,74,19,254,93,stage3:train,28,28
2021.06.07.17.46.49_veh-35_02607_03120,2021.06.07.17.46.49_veh-35,23174991,0714068fbaa828222015a07b23c713803d21603270944dbc92ac1160dafe914d,1022,228,73,0,0,0,61,12,228,73,stage1:test,31,31
2021.06.07.17.46.49_veh-35_04084_04828,2021.06.07.17.46.49_veh-35,39195604,5204adc235055938dbcc44da29855e6a41d1948e3ca98ec9ff3d3e05dbc90bc0,1482,204,106,1,0,0,90,15,204,105,stage1:test,30,30
2021.06.07.17.46.49_veh-35_04839_05184,2021.06.07.17.46.49_veh-35,17857598,f361dd568f0f49075c40848ad621309964907e6d1e59cc8d270cad40c79266a1,689,143,50,1,0,0,39,10,143,49,stage1:test,18,18
2021.06.07.17.48.02_veh-38_01949_02085,2021.06.07.17.48.02_veh-38,5415230,a524840898571c3317d79dbe2c26a0551f49be88aab714b421c24b4c695529b1,270,77,20,1,0,0,12,7,77,19,stage3:train,12,12
2021.06.07.18.53.26_veh-26_00005_00427,2021.06.07.18.53.26_veh-26,21154184,2a402f7d1d070de2435f7f81fe60a271be955fd04e95245595837fedab6426cf,844,100,61,1,0,0,51,9,100,60,stage3:train,14,14
2021.06.07.18.53.26_veh-26_01208_01412,2021.06.07.18.53.26_veh-26,10504296,49eabd9f40ab1c6f4aa527f61c0faaedf065b54830ebfc8a9adb79dd6cb3ae2a,408,57,30,1,0,0,26,3,57,29,stage3:train,11,11
2021.06.07.19.29.59_veh-38_00474_00922,2021.06.07.19.29.59_veh-38,30213899,20ca186d13a2280355ffcdd8facca95e65a3216000872d68c11a03fad44c37bd,896,34,64,0,0,0,62,2,34,64,stage1:train,4,4
2021.06.07.19.29.59_veh-38_01025_01274,2021.06.07.19.29.59_veh-38,9892337,7dbc10180102d15ad64757c6935d897a4d796245d6fe393c4ce4cf822afc5f93,498,87,36,1,0,0,29,6,87,35,stage1:train,12,12
2021.06.07.19.43.00_veh-35_01782_01986,2021.06.07.19.43.00_veh-35,5667257,6ca7aa5d2b701c43102d8b11a3a0ede3fd348201cac8d51f991bf359445cd042,408,97,30,1,0,0,21,8,97,29,stage1:train,14,14
2021.06.07.19.43.00_veh-35_02298_02525,2021.06.07.19.43.00_veh-35,14221638,9bbc4807ed57b268c0efb2b3dc5d11e1be0878fcf482f33dec158f32aede03f3,454,57,33,1,0,0,26,6,57,32,stage1:train,9,9
2021.06.08.12.00.19_veh-35_01722_02119,2021.06.08.12.00.19_veh-35,17379023,45fbdbd3bae888ef1671c8789a5c20171ef8d266da70f0beb60105f8fe3c03ca,793,147,57,1,0,0,45,11,147,56,stage1:train,23,23
2021.06.08.12.00.19_veh-35_02135_02369,2021.06.08.12.00.19_veh-35,11378853,56d863acfa3ba607c14f9d5147b142813ae9ee2fc89254b90135922982b7c1f1,464,72,34,1,0,0,27,6,72,33,stage1:train,8,8
2021.06.08.12.00.19_veh-35_02988_03160,2021.06.08.12.00.19_veh-35,6029060,624045c828301e7b7eb60cbb1bc23869237da3847b851ce01a9dab238647c2fb,340,25,25,1,0,0,22,2,25,24,stage1:train,2,2
2021.06.08.12.00.19_veh-35_03451_03644,2021.06.08.12.00.19_veh-35,6474106,ccb61fd927155be2552bc341863d969de33f70bfaf7c9c918c2514575d87b726,383,34,28,1,0,0,23,4,34,27,stage1:train,6,6
2021.06.08.12.00.19_veh-35_03655_03792,2021.06.08.12.00.19_veh-35,5587846,85e02993712152a42ceed4b5a3a193e831bef45542492247d4befa07b6e86f91,273,39,20,1,0,0,16,3,39,19,stage1:train,4,4
2021.06.08.12.00.19_veh-35_04422_04725,2021.06.08.12.00.19_veh-35,8995043,e4399b7a29c6301a26e11a3c0ad25b68e071c359d7e27d95288a5ed0c4e37dc8,604,48,44,1,0,0,40,3,48,43,stage1:train,6,6
2021.06.08.12.00.19_veh-35_05235_05578,2021.06.08.12.00.19_veh-35,17977283,5dc5bd3c23d525c5d42331f3ec94f4c172f76856434dafe944e90d8cb8a0da52,685,104,49,1,0,0,40,8,104,48,stage1:train,12,12
2021.06.08.12.54.54_veh-26_00015_00507,2021.06.08.12.54.54_veh-26,19763109,a368cfc47534b94764ffbfc0026f25c1fd2dff2a42c00d971efb8ef85b7b55bd,981,155,71,1,0,0,57,13,155,70,stage1:train,23,23
2021.06.08.12.54.54_veh-26_00733_00983,2021.06.08.12.54.54_veh-26,7037869,ed82dec059b1550c230ee018c5c04d82106b26ef5623efc9566c284670f27642,499,73,36,1,0,0,30,5,73,35,stage1:train,13,13
2021.06.08.12.54.54_veh-26_01289_01417,2021.06.08.12.54.54_veh-26,6924265,2583ed6d7a77e427f61d95aed2e262f911a40e289043bc17ae5c5cef7074a377,255,23,19,1,0,0,16,2,23,18,stage1:train,3,3
2021.06.08.12.54.54_veh-26_02323_02479,2021.06.08.12.54.54_veh-26,10293896,9789d2ad1e60eb5812a528cbc73fbc5ebaf102d9829a3c25fa28922a23f77833,313,55,23,1,0,0,19,3,55,22,stage1:train,8,8
2021.06.08.12.54.54_veh-26_02994_03970,2021.06.08.12.54.54_veh-26,44565942,81ae4832d99afd4dea71ba05a169ef8284ee52c4f8d2d167a50d7c070e6a4a3b,1947,223,140,1,0,0,124,15,223,139,stage1:train,34,34
2021.06.08.12.54.54_veh-26_04262_04732,2021.06.08.12.54.54_veh-26,24336607,f11c31f197bf88c525b65773aeea1b9f6d2d1315fafef6caf7e9b0eeeca0da16,938,52,67,0,0,0,63,4,52,67,stage1:train,9,9
2021.06.08.14.14.51_veh-35_00893_01188,2021.06.08.14.14.51_veh-35,7772511,a70f9b46b16de98632ec729719fdc753415af4ee2cc119346d82ade503aec7dd,586,134,42,1,0,0,33,8,134,41,stage2:audit,16,16
2021.06.08.14.14.51_veh-35_01508_01763,2021.06.08.14.14.51_veh-35,10904013,b518d4e7d9a5ee98a961e9d7aa543fd5c7e9ddba76eb7e419851fe203409e548,509,88,37,1,0,0,28,8,88,36,stage2:audit,12,12
2021.06.08.14.35.24_veh-26_01989_02235,2021.06.08.14.35.24_veh-26,14531746,b6ed47045be1285808cb6749ce5dbc839d65828a8ebea364305f9d9dc37a833e,493,80,36,1,0,0,29,6,80,35,stage2:test,14,14
2021.06.08.14.35.24_veh-26_02555_03004,2021.06.08.14.35.24_veh-26,14066210,b4bf9bbea3f6612b1e80362b55279c3467a339d576ffcdec492986ce2dca5a56,895,142,64,1,0,0,50,13,142,63,stage2:test,19,19
2021.06.08.14.36.49_veh-38_00312_00694,2021.06.08.14.36.49_veh-38,18839263,6fdcad7101458377e830c4279fe73fed95fdba0cd5535fda4a093cdc66f80074,764,87,55,1,0,0,48,6,87,54,stage3:train,14,14
2021.06.08.16.31.33_veh-38_00015_00262,2021.06.08.16.31.33_veh-38,9134870,3859bf7fc58b4cf6dc2be77f1b1daa3257f9446da8636d9740d6beaaef59bcf2,493,114,36,1,0,0,25,10,114,35,stage3:train,15,15
2021.06.08.16.31.33_veh-38_01589_02072,2021.06.08.16.31.33_veh-38,25845540,665ef2ea272a87483747bc5c5f1ce1fd1c9a5f664b32753d8fdd09386fc40be8,966,102,69,0,0,0,62,7,102,69,stage3:train,14,14
2021.06.08.16.31.33_veh-38_03406_03605,2021.06.08.16.31.33_veh-38,10963445,9af29e7a4428c34a20226762e2b51571c88b217a813732054f84e798edd05c59,397,8,29,1,0,0,27,1,8,28,stage3:train,1,1
2021.06.08.17.25.03_veh-35_02448_02655,2021.06.08.17.25.03_veh-35,5666437,c360acfacb5bfb88fec6acb20aa1708abde930cf7adff555c035155587db85d0,413,106,30,1,0,0,23,6,106,29,stage2:train,16,16
2021.06.08.17.25.03_veh-35_03522_03716,2021.06.08.17.25.03_veh-35,5274268,276feb3cbb89078fff8d5e803c0ca17f3064f1897b701e3aca86366e8d351d66,388,114,28,1,0,0,18,9,114,27,stage2:train,14,14
2021.06.08.17.36.50_veh-26_03873_04225,2021.06.08.17.36.50_veh-26,20092803,a7bb45c7f41d8e4101b20061eec8684367fd3ae9e239f9c03dc179b7a7dee293,700,125,50,0,0,0,41,9,125,50,stage1:train,15,15
2021.06.08.17.36.50_veh-26_05134_05378,2021.06.08.17.36.50_veh-26,13520272,7f3d38adecf79568da7933c83190fd55897d738859d8102ce8305ca5ec36e0a1,486,58,35,1,0,2,27,5,58,32,stage1:train,8,8
2021.06.08.18.18.30_veh-38_01241_01417,2021.06.08.18.18.30_veh-38,6467928,cc20bd2c9772b71b28c0e6ca37e5fca071a98de78f855a7c14d335eb2846120e,351,7,26,1,0,0,24,1,7,25,stage2:train,1,1
2021.06.08.18.18.30_veh-38_05578_05988,2021.06.08.18.18.30_veh-38,21671182,7d047e80fd0a5e79897abbf74e9850e18f292b2a3cb90c93b425a3ea4661af06,819,46,59,1,0,0,54,4,46,58,stage2:train,7,7
2021.06.08.18.18.30_veh-38_06017_06142,2021.06.08.18.18.30_veh-38,5002399,64667d7ea79feac4e066c07213420c4798f33e59c06103d23f5ab80329505c8c,249,49,18,1,0,0,13,4,49,17,stage2:train,10,10
2021.06.08.18.59.48_veh-12_01276_01459,2021.06.08.18.59.48_veh-12,6650932,47c3be5172b14e2635e4b47131bd2a6ccc80735e0233e72ad40be68765ae9b29,364,17,26,0,0,0,24,2,17,26,stage1:train,3,3
2021.06.08.18.59.48_veh-12_02116_02247,2021.06.08.18.59.48_veh-12,7511822,e82a0ba8abe13b77650c80ace3b13ca4b105438802ec9dabd05150f1fdd8cd94,261,16,19,1,0,0,18,0,16,18,stage1:train,3,3
2021.06.08.18.59.48_veh-12_03122_03677,2021.06.08.18.59.48_veh-12,21563628,4f62486abb85ecb9d64e88c82c3b8d0507d3146ca16fac14061f4d5b7782f3eb,1104,86,79,1,0,0,74,4,86,78,stage1:train,11,11
2021.06.08.19.16.23_veh-26_00193_00322,2021.06.08.19.16.23_veh-26,7290935,c29d10f470bcab6859e550076e28ae217eb17d7465dea7dd11ee484f4e513b7a,258,20,19,1,0,0,17,1,20,18,stage3:train,2,2
2021.06.08.19.16.23_veh-26_00973_01139,2021.06.08.19.16.23_veh-26,6687448,aabf41a4b3cf2a3445b5f9024b1b6fa6125a7bd05b742cd1b818268bf10176e5,333,34,24,1,0,0,21,2,34,23,stage3:train,6,6
2021.06.09.11.54.15_veh-12_00015_00259,2021.06.09.11.54.15_veh-12,2231612,416a3150adf3f9039ac149ba0ac5a811737d4cc2e22e1a2cf15a91df11af4067,488,75,35,1,0,0,27,7,75,34,stage3:train,10,10
2021.06.09.11.54.15_veh-12_00270_00339,2021.06.09.11.54.15_veh-12,481708,76c2f729c67155be42ad3f29e20bdab55adfcd26011867b105d6efaa94a68e7f,138,4,10,1,0,0,9,0,4,9,stage3:train,1,1
2021.06.09.11.54.15_veh-12_00361_00678,2021.06.09.11.54.15_veh-12,14671171,2b80e3bfe1f8913f2d0e6230a059a4f264d1fd7a48388327124d8fc30fee5cb0,634,103,46,1,0,0,38,7,103,45,stage3:train,16,16
2021.06.09.11.54.15_veh-12_00689_01229,2021.06.09.11.54.15_veh-12,21170790,bcc0d3469b423b18e2fb3e8f60a29a29f3e6f5c6f68f402b07e1972e49746199,1080,73,78,1,0,0,73,4,73,77,stage3:train,13,13
2021.06.09.11.54.15_veh-12_01240_01361,2021.06.09.11.54.15_veh-12,4428194,55579b6b41f05133ccb9dac8b4193e15d93bf70a06b288144b12fb9f712da7e8,242,17,18,1,0,0,16,1,17,17,stage3:train,2,2
2021.06.09.11.54.15_veh-12_01403_01526,2021.06.09.11.54.15_veh-12,6001426,045d2ac9129a80aee31a7594d7e21e2c84fb83b8bb43f76910d4ae1fc287370d,246,37,18,1,0,0,15,2,37,17,stage3:train,6,6
2021.06.09.11.54.15_veh-12_01537_01628,2021.06.09.11.54.15_veh-12,2861205,1fb60d82dabbffccbe9910f3dcd44f3258baf8749e69d36d8937a81c025172cc,182,57,13,0,0,0,8,5,57,13,stage3:train,9,9
2021.06.09.11.54.15_veh-12_01705_01845,2021.06.09.11.54.15_veh-12,5757115,ad27fc8b39fe07f80ebe498aec92499b43eee025f53c94f1112eaa1c66bc4963,280,30,20,0,0,0,17,3,30,20,stage3:train,6,6
2021.06.09.11.54.15_veh-12_01902_02277,2021.06.09.11.54.15_veh-12,20704716,3069cde5d476286c55832cc01698ecc1d197b2c7e4d23c299222c8597db93faa,750,20,54,1,0,0,51,2,20,53,stage3:train,6,6
2021.06.09.11.54.15_veh-12_02288_02529,2021.06.09.11.54.15_veh-12,10325900,0755d6eba5ad8ca15f8fe3e90d930f6782c68fb2bafd454b6fb35edbf8524d33,482,57,35,1,0,0,29,5,57,34,stage3:train,8,8
2021.06.09.11.54.15_veh-12_02540_02723,2021.06.09.11.54.15_veh-12,8879266,b121724329bfa9bced74066d608a863ac6c3666c829fb4e602fcc86111754b65,366,72,27,1,0,0,20,6,72,26,stage3:train,11,11
2021.06.09.11.54.15_veh-12_02734_02946,2021.06.09.11.54.15_veh-12,7477977,76ed4bb439cb1846b3338891768771cfbde6e7e062a693743aa4d7b879e3157b,424,38,31,1,0,0,28,2,38,30,stage3:train,6,6
2021.06.09.11.54.15_veh-12_03121_03319,2021.06.09.11.54.15_veh-12,14824845,57304f770f09614f99ace8d9f556048a5dfb890ecce083cba2681a2f3528c1f0,396,10,29,1,0,0,27,1,10,28,stage3:train,2,2
2021.06.09.11.54.15_veh-12_03371_03642,2021.06.09.11.54.15_veh-12,10100127,b1d841545aeb82e4bad0d6ec1b3d1dcc9a53bd084e0846efbf26a246e79b87a9,542,96,39,1,0,0,32,6,96,38,stage3:train,15,15
2021.06.09.11.54.15_veh-12_03653_03902,2021.06.09.11.54.15_veh-12,10598172,a3249eaeb31f4b06857a374f797acd32963ebd1b02301461007d0d03b1e5d879,498,48,36,1,0,0,33,2,48,35,stage3:train,9,9
2021.06.09.11.54.15_veh-12_03917_04069,2021.06.09.11.54.15_veh-12,5776596,c6bf6c6b9f6c8f95bb0b8633fe1f9e38e272576b3ed0d4cba19173bfaa55715b,304,15,22,1,0,0,20,1,15,21,stage3:train,3,3
2021.06.09.11.54.15_veh-12_04138_04355,2021.06.09.11.54.15_veh-12,10741470,e6e9db4f82e5c89c5d498292d8cdb636bd62137bd7a64e87b2be8fa90964a33d,434,100,31,0,0,0,27,4,100,31,stage3:train,14,14
2021.06.09.11.54.15_veh-12_04366_04810,2021.06.09.11.54.15_veh-12,16849667,1d1bf15103ae2e91b980c2149fda939b30037aa4f4210b28a66713cd937cf091,888,159,64,1,0,0,52,11,159,63,stage3:train,24,24
2021.06.09.11.54.15_veh-12_04821_05096,2021.06.09.11.54.15_veh-12,12822712,121e38d9c8a6be701cd6d0b93787a24a1c7207ad09ba6f51747106aed32d1077,550,41,40,1,0,0,36,3,41,39,stage3:train,7,7
2021.06.09.11.54.15_veh-12_05108_05331,2021.06.09.11.54.15_veh-12,10278053,3e986a85ab326f4f7c3151e52beb885ec4ad88988dd1d65dfab4996a8a04cfe5,446,89,32,1,0,0,26,5,89,31,stage3:train,14,14
2021.06.09.11.54.15_veh-12_05342_05403,2021.06.09.11.54.15_veh-12,3883025,3a1d9db99067de01d3c09dde876857c254233eda50b76af18dbfc76a4842de94,122,13,9,1,0,0,6,2,13,8,stage3:train,2,2
2021.06.09.11.54.15_veh-12_05414_05511,2021.06.09.11.54.15_veh-12,3436284,9aa8774ab508f27ccf3eb2022b95b5e301c98acb32655beb2b554bad2b3ccfa5,194,8,14,1,0,0,13,0,8,13,stage3:train,3,3
2021.06.09.11.54.15_veh-12_05543_05765,2021.06.09.11.54.15_veh-12,7305690,05a7fae1547c6f7ef0c9594462db30d7ade5bbd9b8f896de46999f34a2f28ce4,444,94,32,1,0,0,25,6,94,31,stage3:train,14,14
2021.06.09.12.06.35_veh-35_00149_00262,2021.06.09.12.06.35_veh-35,965411,af56809cbbbb9eb863cf742522ddcbf5c26906eb289d03187fb93638e70ba6c0,226,26,17,1,0,0,14,2,26,16,stage1:audit,4,4
2021.06.09.12.06.35_veh-35_00284_00410,2021.06.09.12.06.35_veh-35,6130932,f5e6150a5ce686f1d4f3d067ab5761dfdc6bb2376cf42f8a1a1bb2fda8f765bb,252,33,18,0,0,0,15,3,33,18,stage1:audit,4,4
2021.06.09.12.06.35_veh-35_00422_01112,2021.06.09.12.06.35_veh-35,26232153,4e35291d14b3e93e0ab7d65070eabb2d2eeb3bb15ff881ca6cd15cf977c25831,1380,164,99,1,0,0,87,11,164,98,stage1:audit,26,26
2021.06.09.12.06.35_veh-35_01164_01494,2021.06.09.12.06.35_veh-35,13334750,efc572de2c19099b53b8b38488e36e79a169a0d980775d7444c1acd26aa6bf5a,660,115,48,1,0,0,40,7,115,47,stage1:audit,13,13
2021.06.09.12.39.51_veh-26_00055_00360,2021.06.09.12.39.51_veh-26,14954097,aacb739b3e76832a98654b665109002cdf826d02cc907ca3f83a7afd3a3c6f1a,610,36,44,1,0,0,41,2,36,43,stage1:train,5,5
2021.06.09.12.39.51_veh-26_00609_01168,2021.06.09.12.39.51_veh-26,21755277,b5726d5df70e98c3d3ff497f6b8f0c085332368c7889ff0da8e4b7e42078443a,1118,215,80,1,0,0,61,18,215,79,stage1:train,32,32
2021.06.09.12.39.51_veh-26_01179_01338,2021.06.09.12.39.51_veh-26,5786605,39a8e85eef6f5dcde2a6bdea1d7c92d85866fee522fbd351242a45b47b7a8a90,318,28,23,1,0,0,21,1,28,22,stage1:train,4,4
2021.06.09.12.39.51_veh-26_01653_01919,2021.06.09.12.39.51_veh-26,13996693,d8191165d31b245cf18316b659c3eaac35e1094cc00d6332e5dacb1673cd3ed4,532,70,38,0,0,0,34,4,70,38,stage1:train,11,11
2021.06.09.12.39.51_veh-26_01943_02303,2021.06.09.12.39.51_veh-26,13452835,9175b0ab73ec44be6b064d726d38a85af359269f89c312a1a8bb76e62ea76de1,720,115,52,1,0,0,42,9,115,51,stage1:train,17,17
2021.06.09.12.39.51_veh-26_02338_02459,2021.06.09.12.39.51_veh-26,5503261,ebe901fd59bfe2370cbf192602a788f6a6b9a4157b7e18b25acf414419590361,242,29,18,1,0,0,16,1,29,17,stage1:train,3,3
2021.06.09.12.39.51_veh-26_02470_02648,2021.06.09.12.39.51_veh-26,10065661,a0b1c2b69e3a8c7efb1180f91ceacdd00c2ceb37bb9f3a90f18fcf71ad342938,356,1,26,1,0,0,25,0,1,25,stage1:train,1,1
2021.06.09.12.39.51_veh-26_02729_02878,2021.06.09.12.39.51_veh-26,5073490,d2dc62d02ca0d7a18772e912847a9027dd389c23e94529bbbead167449e92e8d,298,24,22,1,0,0,19,2,24,21,stage1:train,4,4
2021.06.09.12.39.51_veh-26_02901_02978,2021.06.09.12.39.51_veh-26,3239990,9f65d3f4555077be8d5cc74bfd56c0179763762d95d9f00ab139d3770c9ffb6d,154,22,11,0,0,0,9,2,22,11,stage1:train,3,3
2021.06.09.12.39.51_veh-26_02989_03385,2021.06.09.12.39.51_veh-26,14385600,a855706133e1e841afd2b67d6996e9065fdb1296dab65af78adf93a3e031370f,792,138,57,1,0,0,47,9,138,56,stage1:train,19,19
